id,0,48,96,144,192,240,288,336,384,432,480,528,576,624,672,720,768,816,864,912,960,1008,1056,1104,1152,1200,1248,1296,1344,1392,1440,1488,1536,1584,1632,1680,1728,1776,1824,1872,1920,1968,2016,2064,2112,2160,2208,2256,2304,2352,2400,2448,2496,2544,2592,2640,2688,2736,2784,2832,2880,2928,2976,3024,3072,3120,3168,3216,3264,3312,3360,3408,3456,3504,3552,3600
64,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,3,4,2,3,14,10,12,9,5,7,76,130,244,166,137,295,68,410,554,224,329,767,1435,277,296,271,15,3,50,200,114,31,28,45,46,38,72,41,46,35,19,13,26,37,15,12,7,1,1,8,3,0,12,2,0,1,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,1,1,4,3,7,4,4,7,11,8,4,12,29,92,259,110,42,62,285,30,217,43,226,253,399,8,108,150,52,46,42,82,64,101,38,42,61,53,43,25,1,12,35,7,5,11,1,1,4,1,7,0,0,0,0,0,1,0,0,0,0
66,0,0,0,0,0,0,0,1,3,3,3,3,5,5,8,7,6,24,11,24,31,30,52,36,90,18,129,72,152,576,272,281,394,415,238,471,317,535,1417,595,618,896,604,452,342,604,262,430,318,350,158,154,95,30,17,26,66,36,30,52,22,14,9,11,8,7,2,17,14,12,12,2,2,2,1,0
67,0,0,0,0,0,0,0,0,0,0,1,1,5,0,4,6,6,8,11,10,33,32,25,9,33,3,115,99,113,73,21,54,245,191,177,357,405,105,1044,588,1027,506,928,149,261,424,150,174,87,179,101,116,47,42,17,13,44,14,6,8,7,8,16,0,1,6,1,1,0,4,2,0,1,1,1,0
68,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,3,4,4,7,5,9,11,7,37,10,20,36,8,80,21,88,65,16,21,32,18,87,798,351,287,42,317,169,83,47,82,83,57,45,37,45,19,26,2,28,1,0,22,11,3,1,1,2,0,3,2,5,0,0,0,0,2,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,3,6,16,15,16,22,8,12,30,27,3,31,259,111,53,124,3,284,49,105,235,105,8,85,130,46,47,114,75,33,68,51,59,29,29,41,75,15,9,1,0,2,2,14,0,3,0,0,0,1,0,0,1,0,1,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,2,5,3,7,10,4,14,4,35,14,57,77,24,57,49,51,38,21,104,75,168,91,62,239,378,71,36,58,58,45,148,96,99,41,64,50,47,48,106,31,27,15,4,5,0,0,5,2,2,0,0,0,0,2,0,0,1,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,13,4,3,0,1,38,40,22,13,22,0,6,90,8,2,93,32,1,12,24,169,6,5,0,11,2,13,24,35,11,16,9,19,10,0,0,1,6,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,1,3,3,6,6,3,4,8,6,11,10,12,17,29,22,42,77,80,25,7,177,176,28,85,196,219,204,68,506,218,14,418,31,78,96,28,97,92,51,62,79,57,71,22,19,5,43,3,11,4,13,5,3,4,1,1,1,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,3,4,4,4,8,15,64,145,89,57,2,11,78,26,34,12,19,85,193,41,0,6,5,114,81,101,98,53,22,77,48,44,25,28,18,40,0,8,7,8,3,2,0,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,3,7,3,8,5,2,7,15,3,19,56,55,59,12,5,123,9,43,13,19,23,3,0,82,3,54,90,9,24,16,29,19,10,10,1,4,3,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,2,3,3,6,9,8,19,2,29,28,11,22,27,38,27,0,29,412,173,1804,556,26,0,2,133,115,78,6,73,86,80,65,48,44,48,26,5,13,99,20,5,43,7,2,3,1,1,0,0,3,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,1,2,3,4,4,16,4,7,2,17,67,147,56,355,10,59,29,3,108,98,81,25,113,7,381,92,336,61,59,79,79,85,35,87,35,42,31,0,1,0,1,3,42,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,8,2,4,3,6,8,9,21,5,17,4,13,47,23,80,31,7,19,72,259,114,646,146,0,171,370,966,786,181,163,152,28,53,109,44,27,31,31,19,0,7,27,8,6,27,16,13,4,0,0,2,1,0,0,4,1,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,2,1,0,2,5,3,9,3,5,13,21,12,9,20,4,15,24,150,73,439,163,56,137,430,340,117,264,41,30,267,191,473,452,310,137,61,91,43,122,84,89,128,109,110,8,68,10,25,12,23,7,0,4,8,9,1,1,7,0,2,0,0,2,0,0,0
